name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Ожигов Дмитрий Сергеевич,3,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0
Роенко Никита Валериевич,3,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0
Коробейников Александр Геннадьевич,3,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
Мамонтов Егор Иванович,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0
Шагал Ксения Андреевна,3,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0
Трощило Мария Андреевна,3,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0
Осташкина Анастасия Михайловна,3,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0
Лях Михаил Андреевич,3,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
Брутер Александра Владимировна,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Абдрашитова Ирина Владимировна,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Хмыров Дмитрий Евгеньевич,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Кулешов Игорь Вячеславович,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Семушин Иван Николаевич,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Лобачёв Сергей Сергеевич,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Стебалина Анастасия Сергеевна,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Бороненко Алексей Владимирович,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Глускер Галина Михайловна,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Мартыненко Андрей Олегович,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Матюшин Георгий Сергеевич,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Бер Илья Леонидович,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Орловецкий Борис Константинович,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Терентьев Сергей Александрович,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Хасанова Эльвира Гумаровна,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ермишкин Александр Константинович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Фарукшин Наиль Евгеньевич,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Фаттахов Булат Радифович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Фролов Иван Александрович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Гевко Кристина Олеговна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Семушина Нина Игоревна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Телюпа Андрей Владимирович,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Озерова Татьяна Валериевна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Моключенко Виктория Игоревна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Артюхин Ярослав Николаевич,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Талюк Александр Станиславович,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Паксютов Георгий Давидович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Влахов Андриан Викторович,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Перпер Евгений Михайлович,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Фирсова Дарья Владимировна,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Павловец Дмитрий Викторович,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Крылова Лидия Александровна,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Рыженков Андрей Сергеевич,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Котышов Ярослав Александрович,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Сапрыко Артём Сергеевич,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Алимпов Станислав Анатольевич,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Германенко Вадим Александрович,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Грибченко Филипп Фёдорович,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Иванов Антон Андреевич,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Плешакова Екатерина Александровна,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Мартынова Анастасия Алексеевна,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Никитина Евгения Александровна,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Летюхина Мария Алексеевна,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Баладжаева Любовь Хамаиловна,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Кашин Семён Владимирович,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Климов Алексей Владимирович,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Пантелеев Андрей Валерьевич,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Некрылов Николай Андреевич,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Ильин Кирилл Евгеньевич,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Ганеев Тимур Рашидович,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
Скуратов Алексей Евгеньевич,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Боков Тимофей Александрович,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Лисицын Леонид Андреевич,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Мартынов Александр Ефимович,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Скиренко Андрей Сергеевич,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Арабули Георгий Звиадович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Галачян Ким Гагикович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Сыздыков Тимур Маратович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Романенко Алёна Александровна,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Мануйло Евгений Васильевич,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Логош Анастасия Андреевна,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Григорьев Александр Александрович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Ананич Юрий Витальевич,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Савчишкин Денис Максимович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Чернушевич Христина Александровна,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Хромяк Анна Вадимовна,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Зуев Андрей Владимирович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Мацкевич Владислав Викторович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Денисенков Никита Викторович,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Маркова Екатерина Геннадьевна,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Столяров Павел Николаевич,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Цвингли Владимир Игоревич,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
Фея Олег Дмитриевич,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
Турчанинов Дмитрий Петрович,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
Хмельков Алексей Дмитриевич,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Сапего Иван Вячеславович,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
Баранчикова Мария Валентиновна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Васильева Арина Евгеньевна,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Добросинец Ярослав Викторович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Захарик Виталий Александрович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Каниськин Сергей Александрович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Козлов Сергей Владимирович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Лёгенький Николай Леонидович,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Мартыненко Антон Андреевич,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
