name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Морозов Михаил Иванович,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Сидоров Максим Владимирович,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Философов Игорь Юрьевич,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Трутнев Олег Сергеевич,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Фаттахов Булат Радифович,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Тимофеева Анастасия Витальевна,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Романенко Глеб Александрович,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Шамонин Фёдор Алексеевич,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Шиншинова Ольга Дмитриевна,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Сапожников Артём Алексеевич,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Сновский Александр Юрьевич,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Наследскова Полина Леонидовна,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Денисенков Никита Викторович,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Аристова Мария Васильевна,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Агаханова Ольга Назаровна,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Шевела Никита Игоревич,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Болотова Елизавета Геннадьевна,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Камаев Александр Анатольевич,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ерофеева Ирина Юрьевна,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Седов Игорь Алексеевич,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Баркин Сергей Михайлович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Баркина Юлия Александровна,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Батаев Сергей Викторович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Долотов Олег Леонидович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ермишев Виталий Александрович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Куфтинов Евгений Семёнович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Филаткин Михаил Николаевич,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Новикова Екатерина Сергеевна,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Бранский Леонид Яковлевич,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Спешкова Елена Николаевна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Зборовская Марьяна Михайловна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Новокрещенова Ольга Ростиславна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Каплун Дмитрий Ильич,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Кибкало Мария Александровна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Лоскутов Сергей Михайлович,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Слащёв Артём Валерьевич,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Серобян Эдгар Робертович,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Николаева Ксения Сергеевна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Лубенникова Анастасия Витальевна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Абдрашитова Ирина Владимировна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Гиршевич Сергей Михайлович,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Забродина Дарья Владимировна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Багдуев Андрей Александрович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Иванов Артур Арианович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Кузнецов Даниил Геннадьевич,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Ерошкин Вадим Михайлович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Грушина Александра Игоревна,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Кунашко Виталий Валерьевич,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Дидбаридзе Юлия Амираниевна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Павлов Владимир Евгеньевич,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Фёдорова Татьяна Евгеньевна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Щукина Софья Вячеславовна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Редькин Илья Евгеньевич,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Ватаманюк Ирина Валерьевна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Берендяев Денис Александрович,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Янкевич Ричард Игоревич,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Никифоров Артём Павлович,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Аишева Динара Армановна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Даутов Ренат Ильдарович,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Марьяхина Татьяна Фридриховна,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Мереминская Екатерина Олеговна,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Мингазов Амир Мубаракзянович,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Керпель Вера ,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Егоров Всеволод Львович,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
